EmployeeCode,AbsentDates,TotalPresent,TotalAbsent
Con - 999,0,0,31
Cont - 015,0,20,11
Cont - 016,0,20,11
Cont - 017,0,23,8
INT - 169,0,0,31
INT - 266,0,15,16
INT - 270,0,21,10
INT - 273,0,19,12
INT - 275,0,21,10
INT - 276,0,15,16
INT - 277,0,0,31
INT - 278,0,0,31
INT - 279,0,0,31
PSI - 01,0,0,31
PSI - 02,0,5,26
PSI - 005,0,17,14
PSI - 051,0,2,29
PSI - 057,0,0,31
PSI - 066,0,0,31
PSI - 068,0,0,31
PSI - 100,0,1,30
PSI - 104,0,11,20
PSI - 110,0,18,13
PSI - 113,0,2,29
PSI - 129,0,12,19
PSI - 151,0,19,12
PSI - 1756,0,19,12
PSI - 197,0,0,31
PSI - 253,0,13,18
PSI - 349,0,9,22
PSI - 359,0,4,27
PSI - 403,0,0,31
PSI - 439,0,10,21
PSI - 442,0,0,31
PSI - 451,0,20,11
PSI - 460,0,9,22
PSI - 500,0,11,20
PSI - 505,0,0,31
PSI - 535,0,18,13
PSI - 538,0,0,31
PSI - 542,0,8,23
PSI - 647,0,13,18
PSI - 710,0,2,29
PSI - 762,0,18,13
PSI - 797,0,4,27
PSI - 869,0,0,31
PSI - 919,0,0,31
PSI - 923,0,20,11
PSI - 980,0,0,31
PSI - 1004,0,9,22
PSI - 1094,0,2,24
PSI - 1113,0,1,30
PSI - 1206,0,9,22
PSI - 1252,0,0,31
PSI - 1272,0,4,27
PSI - 1274,0,14,17
PSI - 1283,0,0,31
PSI - 1296,0,11,20
PSI - 1319,0,0,31
PSI - 1367,0,21,10
PSI - 1371,0,0,31
PSI - 1452,0,17,9
PSI - 1454,0,0,31
PSI - 1463,0,20,11
PSI - 1468,0,0,31
PSI - 1493,0,22,4
PSI - 1503,0,0,31
PSI - 1504,0,0,31
PSI - 1505,0,5,26
PSI - 1517,0,18,13
PSI - 1520,0,20,6
PSI - 1556,0,15,16
PSI - 1575,0,4,27
PSI - 1583,0,12,19
PSI - 1584,0,0,26
PSI - 1589,0,0,31
PSI - 1594,0,0,31
PSI - 1604,0,4,27
PSI - 1611,0,20,11
PSI - 1618,0,15,16
PSI - 1629,0,16,15
PSI - 1632,0,0,31
PSI - 1646,0,12,19
PSI - 1651,0,16,15
PSI - 1675,0,0,31
PSI - 1688,0,4,27
PSI - 1695,0,7,24
PSI - 1696,0,18,8
PSI - 1702,0,0,31
PSI - 1714,0,0,31
PSI - 1716,0,2,29
PSI - 1737,0,17,14
PSI - 1753,0,11,20
PSI - 1756,0,9,22
PSI - 1768,0,0,31
PSI - 1797,0,0,31
PSI - 1808,0,0,31
PSI - 1811,0,18,13
PSI - 1818,0,0,31
PSI - 1825,0,0,31
PSI - 1835,0,0,31
PSI - 1843,0,19,12
PSI - 1846,0,7,24
PSI - 1847,0,16,15
PSI - 1855,0,1,30
PSI - 1856,0,0,31
PSI - 1860,0,0,31
PSI - 1861,0,4,27
PSI - 1895,0,8,23
PSI - 1911,0,1,30
PSI - 1919,0,0,31
PSI - 1920,0,2,29
PSI - 1925,0,13,18
PSI - 1931,0,4,27
PSI - 1934,0,0,31
PSI - 1951,0,16,15
PSI - 1953,0,18,13
PSI - 1957,0,14,17
PSI - 1961,0,17,14
PSI - 1973,0,21,10
PSI - 1977,0,3,28
PSI - 1978,0,20,11
PSI - 1980,0,18,13
PSI - 1981,0,18,13
PSI - 1997,0,16,15
PSI - 1999,0,19,12
PSI - 2009,0,15,16
PSI - 2018,0,0,31
PSI - 2060,0,10,21
PSI - 2061,0,10,21
PSI - 2062,0,13,18
